Sender,channel,text,url_html
tianshapjq,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/54381>,https://github.com/kubernetes/kubernetes/issues/54381
jberkus,kubernetes-novice,"hey, I urgently need to talk to someone about <https://github.com/kubernetes/kubernetes/issues/56261> and <https://github.com/kubernetes/kubernetes/pull/56622>",https://github.com/kubernetes/kubernetes/issues/56261
patricklang,kubernetes-novice,yeah - symptom looks like this <https://github.com/kubernetes/kubernetes/issues/56902>,https://github.com/kubernetes/kubernetes/issues/56902
presnall,kubernetes-novice,keep in mind there are currently issues with a lot of services due to iptables <https://github.com/kubernetes/kubernetes/issues/44063>,https://github.com/kubernetes/kubernetes/issues/44063
vinhags,kubernetes-novice,I believe this is related to this issues: <https://github.com/kubernetes/kubernetes/issues/53566>,https://github.com/kubernetes/kubernetes/issues/53566
erhudy,kubernetes-novice,"<@U0B4CS1GF> hey, i wanted to check in with you again on <https://github.com/kubernetes/kubernetes/issues/47538> per our conversation last week",https://github.com/kubernetes/kubernetes/issues/47538
quinton_hoole,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/50761>,https://github.com/kubernetes/kubernetes/issues/50761
jamie.poole,kubernetes-novice,"Running version 1.9.0-alpha.2 of kubelet on a fresh Windows 1709 build, and think I'm running into this: <https://github.com/kubernetes/kubernetes/issues/55031> . Has anyone else experienced this?",https://github.com/kubernetes/kubernetes/issues/55031
spiffxp,kubernetes-novice,do folks have things to discuss during today's sig-scale? I know <@U34HHEWE4> is hunting down <https://github.com/kubernetes/kubernetes/issues/51899>,https://github.com/kubernetes/kubernetes/issues/51899
spiffxp,kubernetes-novice,some github-label related stuff I'd like to help out with (and could really use the group's help in making a 1.10 priority) <https://github.com/kubernetes/kubernetes/issues/57911>,https://github.com/kubernetes/kubernetes/issues/57911
lazypower,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/44418>,https://github.com/kubernetes/kubernetes/issues/44418
squeed,kubernetes-novice,thoughts on <https://github.com/kubernetes/kubernetes/issues/56794> ?,https://github.com/kubernetes/kubernetes/issues/56794
guangxuli,kubernetes-novice,hi <@U3Z60K88M> these days i am working on <https://github.com/kubernetes/kubernetes/issues/55333>. but there are some confusing i 'd like to confirm.,https://github.com/kubernetes/kubernetes/issues/55333
clewis,kubernetes-novice,I submitted my issue: <https://github.com/kubernetes/kubernetes/issues/53670>,https://github.com/kubernetes/kubernetes/issues/53670
claytonc,kubernetes-novice,<@U2G8FRBAT> this is the production issue we’re seeing <https://github.com/kubernetes/kubernetes/issues/48610>,https://github.com/kubernetes/kubernetes/issues/48610
marun,kubernetes-novice,<@U0ADD3KAN>: do you have a timeline on getting <https://github.com/kubernetes/kubernetes/issues/54638> merged?,https://github.com/kubernetes/kubernetes/issues/54638
roffe,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/54476>,https://github.com/kubernetes/kubernetes/issues/54476
fejta,kubernetes-novice,Bot vs bot <https://github.com/kubernetes/kubernetes/issues/57585>,https://github.com/kubernetes/kubernetes/issues/57585
ronald.petty,kubernetes-novice,"Hello, not sure if this is the spot.  I would like to start my first PR, specifically, would like to start working on/around the scheduler.  I found this one <https://github.com/kubernetes/kubernetes/issues/43788;> is this valid and worth doing?   If this is wrong channel, can you punt me to the right one?",https://github.com/kubernetes/kubernetes/issues/43788
ericchiang,kubernetes-novice,wanted to bring <https://github.com/kubernetes/kubernetes/issues/53066> to this channel's attention,https://github.com/kubernetes/kubernetes/issues/53066
cris,kubernetes-novice,"there’s <https://github.com/kubernetes/kubernetes/issues/53333>, where this is addressed down on the thread, and apparently restarting kubelet with that flag solves the issue",https://github.com/kubernetes/kubernetes/issues/53333
jberkus,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/55978>,https://github.com/kubernetes/kubernetes/issues/55978
euank,kubernetes-novice,"it looks like you already found a issue for this though in <https://github.com/kubernetes/kubernetes/issues/24576>, or is this not covered?",https://github.com/kubernetes/kubernetes/issues/24576
ravig,kubernetes-novice,<@U09R2P666> <https://github.com/kubernetes/kubernetes/issues/49384> - issue on missing ut's for some fn's,https://github.com/kubernetes/kubernetes/issues/49384
jberkus,kubernetes-novice,"<@U3F6LNYLS> what's the status of <https://github.com/kubernetes/kubernetes/issues/56052>?  You haven't updated it, and there still is no ETA.",https://github.com/kubernetes/kubernetes/issues/56052
spiffxp,kubernetes-novice,FYI <https://github.com/kubernetes/kubernetes/issues/56416>,https://github.com/kubernetes/kubernetes/issues/56416
kasper,kubernetes-novice,"Hey guys!

I am trying to solve this issue: <https://github.com/kubernetes/kubernetes/issues/45140>
It's tagged with sig/node, so I thought I might ask here. :slightly_smiling_face:

I threw a comment on it, maybe anyone can point me in the right direction? It's my first time fiddling with kubernetes source. :slightly_smiling_face:",https://github.com/kubernetes/kubernetes/issues/45140
jake.livewyer,kubernetes-novice,"just reading back, statefulsets don't appear to schedule correctly, <https://github.com/kubernetes/kubernetes/issues/54370>",https://github.com/kubernetes/kubernetes/issues/54370
chen-li,kubernetes-novice,"hi, I think this one should stay open: <https://github.com/kubernetes/kubernetes/issues/43788>, anyone can help ?",https://github.com/kubernetes/kubernetes/issues/43788
dbhanushali,kubernetes-novice,Can someone please take a look at this one please? <https://github.com/kubernetes/kubernetes/issues/54129>,https://github.com/kubernetes/kubernetes/issues/54129
jhorwit2,kubernetes-novice,"<https://github.com/kubernetes/kubernetes/issues/54070>

^ Pretty serious regression in 1.8.x that will cause all non-in-tree cloud providers (baremetal, custom zone labels, CCM) to lose the zone labels on kubelet upgrade / subsequent restarts.",https://github.com/kubernetes/kubernetes/issues/54070
patricklang,kubernetes-novice,"<@U4NELQ5QS> mentioned this might be a problem <https://github.com/kubernetes/kubernetes/issues/52419> because relative symlinks aren't working on Windows, but I thought secrets were working in 1.7 without symlinks",https://github.com/kubernetes/kubernetes/issues/52419
slack1539,kubernetes-novice,"Hi all, if someone could comment on my problems in this defect: <https://github.com/kubernetes/kubernetes/issues/56304> that would be really helpful, thanks",https://github.com/kubernetes/kubernetes/issues/56304
jobridgwater,kubernetes-novice,"Hi there! I am a college student and my partner and I need to contribute to an open source project for a class on Virtualization. We'd love to work on something in Kubernetes and we have about a month (5-6h/week). Do any of these issues look like they would be good for us? We are open to any suggestions!
<https://github.com/kubernetes/kubernetes/issues/46172>
<https://github.com/kubernetes/kubernetes/issues/48926>
<https://github.com/kubernetes/kubernetes/issues/49673>
<https://github.com/kubernetes/kubernetes/issues/49586>",https://github.com/kubernetes/kubernetes/issues/49586
b0rk,kubernetes-novice,also <https://github.com/kubernetes/kubernetes/issues/49314>,https://github.com/kubernetes/kubernetes/issues/49314
feisky,kubernetes-novice,that is the issue <https://github.com/kubernetes/kubernetes/issues/56898>,https://github.com/kubernetes/kubernetes/issues/56898
mattjmcnaughton,kubernetes-novice,"Hi all :slightly_smiling_face: just syncing re anyone had thoughts on <https://github.com/kubernetes/kubernetes/issues/52989> ? If other’s dont feel the same way, I’ll go ahead and close the issue",https://github.com/kubernetes/kubernetes/issues/52989
tennis,kubernetes-novice,"<@U34HHEWE4> Hi guy.  FYI. I’m running into a problem starting kubemark.  Thought you’d want to know about it.
<https://github.com/kubernetes/kubernetes/issues/47736>",https://github.com/kubernetes/kubernetes/issues/47736
gekudray,kubernetes-novice,Not sure how aware the maintainers are but kubelet is broken on Core SKUs. I've opened <https://github.com/kubernetes/kubernetes/issues/55031> with the details.,https://github.com/kubernetes/kubernetes/issues/55031
danmace,kubernetes-novice,<@U0A4MJ62V> <@U09R2P666> <https://github.com/kubernetes/kubernetes/issues/52428>,https://github.com/kubernetes/kubernetes/issues/52428
shyamjvs,kubernetes-novice,<@U09R2P666> scale-correctness doesn't look healthy due to few e2e's that are pending on the SIGs to be fixed (ref - <https://github.com/kubernetes/kubernetes/issues/55194>),https://github.com/kubernetes/kubernetes/issues/55194
rmt,kubernetes-novice,"<@U69QYR4TV>.. did you have any luck with the etcd open connections issue? <@U6S1GQY1H> and I are colleagues.
 <https://github.com/kubernetes/kubernetes/issues/54138/> is the issue we are following, but it appears to be ignored, so we might be alone. Custom deployment on your end?

ApiServers seem to be maintaining the connections to etcd, reconnecting them if etcd goes down. I guess it's a leak of goroutines.",https://github.com/kubernetes/kubernetes/issues/54138
liggitt,kubernetes-novice,looks like <https://github.com/kubernetes/kubernetes/issues/50345>,https://github.com/kubernetes/kubernetes/issues/50345
puneetguptanitj,kubernetes-novice,"Hi all we are observing a strange behvaiour where rbac/v1 apis are getting available only after ~5-6 mins on api-server start up, had raised an issue <https://github.com/kubernetes/kubernetes/issues/56899> is anyone else also seeing this? It happens only when we migrate 1.7.7 to 1.8.4. After moving to 1.8.4 even if we restart API server, rbac/v1 apis are immediately available",https://github.com/kubernetes/kubernetes/issues/56899
daviey,kubernetes-novice,"How is federation / multicluster upgrades currently handled?  Is there a guarantee of N-1 support, or do all clusters need to be upgraded concurrently?  Saw this, but it seems to have gone offtopic? <https://github.com/kubernetes/kubernetes/issues/44160>  Thanks",https://github.com/kubernetes/kubernetes/issues/44160
pires,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/55117>,https://github.com/kubernetes/kubernetes/issues/55117
arungupta,kubernetes-novice,"Hello there, I created a federated cluster using kops as explained at <https://github.com/arun-gupta/kubernetes-federated-cluster>. But  a simple ReplicaSet is not getting deployed, this is explained at <https://github.com/kubernetes/kubernetes/issues/51591>. Any idea?",https://github.com/kubernetes/kubernetes/issues/51591
cynthia.sacramento,kubernetes-novice,"I think it is related to this: <https://github.com/kubernetes/kubernetes/issues/42594> - now delete replicaset waits for resources to be deleted, but on the federation it cannot obtain the pods, could be because of this I guess...",https://github.com/kubernetes/kubernetes/issues/42594
erwanmas,kubernetes-novice,"<@U1A47TVPZ> , ma perception c’est que kubeadm , n’est la que pour amorcer la configuration , il n’intervient plus apres  . 
j’ai crée un bug report ( <https://github.com/kubernetes/kubernetes/issues/42946> )",https://github.com/kubernetes/kubernetes/issues/42946
ichekrygin,kubernetes-novice,i opened <https://github.com/kubernetes/kubernetes/issues/54448>,https://github.com/kubernetes/kubernetes/issues/54448
rupsky,kubernetes-novice,I am looking to use Hashicorp Vault as backend for Kuberneters Secretes. Has anyone tried this ?   I found this old open ticket <https://github.com/kubernetes/kubernetes/issues/10439> . Not sure if any progress has been made there,https://github.com/kubernetes/kubernetes/issues/10439
mbohlool,kubernetes-novice,<@U0BGPQ6DS> here you are: <https://github.com/kubernetes/kubernetes/issues/57769>,https://github.com/kubernetes/kubernetes/issues/57769
sdlarsen,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/57382> is really nagging me. Happens for around half my nodes. Suggestions welcome,https://github.com/kubernetes/kubernetes/issues/57382
jpbetz,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/57822>,https://github.com/kubernetes/kubernetes/issues/57822
chaosaffe,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/341>,https://github.com/kubernetes/kubernetes/issues/341
lazypower,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/46054>,https://github.com/kubernetes/kubernetes/issues/46054
roffe,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/52973>,https://github.com/kubernetes/kubernetes/issues/52973
jberkus,kubernetes-novice,"hey, can anyone do a status update on <https://github.com/kubernetes/kubernetes/issues/56686> ? <@U0YJS6LHL> <@U4H2924GN>  I realize people are in transit to Kubecon, but if someone could take a look at that, it would be great",https://github.com/kubernetes/kubernetes/issues/56686
jobridgwater,kubernetes-novice,"Hi there! I am a college student and my partner and I need to contribute to an open source project for a class on Virtualization. We'd love to work on something in Kubernetes and we have about a month (5-6h/week). Do any of these issues look like they would be good for us? We are open to any suggestions!
<https://github.com/kubernetes/kubernetes/issues/46172>
<https://github.com/kubernetes/kubernetes/issues/48926>
<https://github.com/kubernetes/kubernetes/issues/49673>
<https://github.com/kubernetes/kubernetes/issues/49586>",https://github.com/kubernetes/kubernetes/issues/46172
maciekpytel,kubernetes-novice,and <https://github.com/kubernetes/kubernetes/issues/54637>?,https://github.com/kubernetes/kubernetes/issues/54637
shyamjvs,kubernetes-novice,"Guess you're referring to these:
<https://github.com/kubernetes/kubernetes/issues/47865>
<https://github.com/kubernetes/kubernetes/issues/47899>",https://github.com/kubernetes/kubernetes/issues/47899
jobridgwater,kubernetes-novice,"Hi there! I am a college student and my partner and I need to contribute to an open source project for a class on Virtualization. We'd love to work on something in Kubernetes and we have about a month (5-6h/week). Do any of these issues look like they would be good for us? We are open to any suggestions!
<https://github.com/kubernetes/kubernetes/issues/46172>
<https://github.com/kubernetes/kubernetes/issues/48926>
<https://github.com/kubernetes/kubernetes/issues/49673>
<https://github.com/kubernetes/kubernetes/issues/49586>",https://github.com/kubernetes/kubernetes/issues/49673
mhausenblas,kubernetes-novice,"Up to 1.6 it was indeed 3 and 5 min, see for example <https://github.com/kubernetes/kubernetes/issues/44202>",https://github.com/kubernetes/kubernetes/issues/44202
shyamjvs,kubernetes-novice,For e.g we noticed it was being OOM-killed under high load when the system pods generate more than usual logs (ref: <https://github.com/kubernetes/kubernetes/issues/47865>),https://github.com/kubernetes/kubernetes/issues/47865
gustavoatt,kubernetes-novice,Thanks! I think I found the issue <https://github.com/kubernetes/kubernetes/issues/56261>. Is the workaround just restarting the scheduler?,https://github.com/kubernetes/kubernetes/issues/56261
jobridgwater,kubernetes-novice,"Hi there! I am a college student and my partner and I need to contribute to an open source project for a class on Virtualization. We'd love to work on something in Kubernetes and we have about a month (5-6h/week). Do any of these issues look like they would be good for us? We are open to any suggestions!
<https://github.com/kubernetes/kubernetes/issues/46172>
<https://github.com/kubernetes/kubernetes/issues/48926>
<https://github.com/kubernetes/kubernetes/issues/49673>
<https://github.com/kubernetes/kubernetes/issues/49586>",https://github.com/kubernetes/kubernetes/issues/48926
shyamjvs,kubernetes-novice,"Guess you're referring to these:
<https://github.com/kubernetes/kubernetes/issues/47865>
<https://github.com/kubernetes/kubernetes/issues/47899>",https://github.com/kubernetes/kubernetes/issues/47865
dims,kubernetes-novice,<@U0AH4GABW> <@U15P41DRC> <https://github.com/kubernetes/kubernetes/issues/56522> seems to be a blocker for 1.9 but <https://github.com/kubernetes/kubernetes/pull/56529> for it needs milestone/approvals etc can you please take a look?,https://github.com/kubernetes/kubernetes/issues/56522
jberkus,kubernetes-novice,<@U0B93RF4N> <@U4723UJL8> <@U6DN3CFF1> can we have an update on the horizontal pod autoscaler test failure?  <https://github.com/kubernetes/kubernetes/issues/54574>,https://github.com/kubernetes/kubernetes/issues/54574
shyamjvs,kubernetes-novice,<@U4VMZKRD0> This was discussed in the sig-scale meeting yesterday. The performance tests are passing - the red was just due to an artificial check that we fixed now (ref <https://github.com/kubernetes/kubernetes/issues/51433>),https://github.com/kubernetes/kubernetes/issues/51433
erik.oshaughnessy,kubernetes-novice,"Thoughts on this? A google found an issue <https://github.com/kubernetes/kubernetes/issues/51179> but no resolution.

# kubectl logs spark-master-0
Error from server: Get <https://1.1.1.202:10250/containerLogs/default/spark-master-0/spark-master>: EOF",https://github.com/kubernetes/kubernetes/issues/51179
ericchiang,kubernetes-novice,<@U4SFZAMPC> what version of kubernetes are you using? might be <https://github.com/kubernetes/kubernetes/issues/45353> ?,https://github.com/kubernetes/kubernetes/issues/45353
thomas115,kubernetes-novice,"Hi, is this the right sig group for <https://github.com/kubernetes/kubernetes/issues/52336> ?",https://github.com/kubernetes/kubernetes/issues/52336
bentheelder,kubernetes-novice,"I think kubernetes as well, EG <https://github.com/kubernetes/kubernetes/issues/1806>",https://github.com/kubernetes/kubernetes/issues/1806
vikasc,kubernetes-novice,<@U3PEZ4X1T> <https://github.com/kubernetes/kubernetes/issues/57273>,https://github.com/kubernetes/kubernetes/issues/57273
djsly,kubernetes-novice,"Just dropping this here. Goes on my list of what breaks when you lockdown your VNet. 
<https://github.com/kubernetes/kubernetes/issues/56086>",https://github.com/kubernetes/kubernetes/issues/56086
jhorwit2,kubernetes-novice,"Found the ticket for the change: <https://github.com/kubernetes/kubernetes/issues/47222>

This broke backwards compatibility :disappointed:",https://github.com/kubernetes/kubernetes/issues/47222
erhudy,kubernetes-novice,"does anyone have any thoughts on <https://github.com/kubernetes/kubernetes/issues/47538>? the idea i had was to add another field to CronJobSpec like `triggerOnCreation` to signal the controller to immediately run a Job instead of waiting for the scheduled time, but modifying the API for something in beta seems unlikely",https://github.com/kubernetes/kubernetes/issues/47538
luxas,kubernetes-novice,PTAL at <https://github.com/kubernetes/kubernetes/issues/48841>,https://github.com/kubernetes/kubernetes/issues/48841
shyamjvs,kubernetes-novice,<@U09SJ9AH0> There's an issue with PATCH'ing for endpoints object. Could you take a look at <https://github.com/kubernetes/kubernetes/issues/47787>? Thanks.,https://github.com/kubernetes/kubernetes/issues/47787
random-liu,kubernetes-novice,You can take a look at this issue: <https://github.com/kubernetes/kubernetes/issues/52032>,https://github.com/kubernetes/kubernetes/issues/52032
ichekrygin,kubernetes-novice,"Hello, it seems i am running into `Kubelet` + `cAdvisor` + High CPU issue similar to the one reported in: <https://github.com/kubernetes/kubernetes/issues/23008>",https://github.com/kubernetes/kubernetes/issues/23008
resouer,kubernetes-novice,I just have a community doc fix: <https://github.com/kubernetes/community/pull/985> which is part of <https://github.com/kubernetes/kubernetes/issues/53236>,https://github.com/kubernetes/kubernetes/issues/53236
dineshgovindasamy,kubernetes-novice,<@U4BSEP55K> <@U2X7ARA79> <@U0BC5M36Y> Many people are blocked by this issue <https://github.com/kubernetes/kubernetes/issues/55031>,https://github.com/kubernetes/kubernetes/issues/55031
marun,kubernetes-novice,<@U09R342HM>: Any update on <https://github.com/kubernetes/kubernetes/issues/47344> ?,https://github.com/kubernetes/kubernetes/issues/47344
squeed,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/56794>,https://github.com/kubernetes/kubernetes/issues/56794
ramon.ruettimann,kubernetes-novice,"Hi guys,
I opened an issue two weeks ago; 
<https://github.com/kubernetes/kubernetes/issues/57505>
Can someone confirm this ""bug""?",https://github.com/kubernetes/kubernetes/issues/57505
3dinfluence,kubernetes-novice,In case anyone here wants to participate <https://github.com/kubernetes/kubernetes/issues/57518>,https://github.com/kubernetes/kubernetes/issues/57518
bsalamat,kubernetes-novice,"<@U0JBRP4Q7> As a starter project, you may want to take a look at: <https://github.com/kubernetes/kubernetes/issues/53908>",https://github.com/kubernetes/kubernetes/issues/53908
ixdy,kubernetes-novice,it's probably similar to <https://github.com/kubernetes/kubernetes/issues/56516>,https://github.com/kubernetes/kubernetes/issues/56516
caesarxuchao,kubernetes-novice,<@U34HHEWE4> why do you think it's caused by garbage collector? could you share your thoughts in <https://github.com/kubernetes/kubernetes/issues/49956>?,https://github.com/kubernetes/kubernetes/issues/49956
tianshapjq,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/16435>,https://github.com/kubernetes/kubernetes/issues/16435
frobware,kubernetes-novice,<@U4723UJL8> I am now going to take a look at <https://github.com/kubernetes/kubernetes/issues/54574>,https://github.com/kubernetes/kubernetes/issues/54574
shyamjvs,kubernetes-novice,There's one performance regression which is what is causing scale-performance to fail (<https://github.com/kubernetes/kubernetes/issues/54651>) and the fix is on its way,https://github.com/kubernetes/kubernetes/issues/54651
cmluciano,kubernetes-novice,<@U0GBTV9DY> Is this the blocking issue <https://github.com/kubernetes/kubernetes/issues/49480>,https://github.com/kubernetes/kubernetes/issues/49480
spiffxp,kubernetes-novice,"<https://github.com/kubernetes/kubernetes/issues/47820> - this is listed as a release-blocker issue for v1.8, is anyone from sig-apps actively working on this?",https://github.com/kubernetes/kubernetes/issues/47820
quinton_hoole,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/52643>,https://github.com/kubernetes/kubernetes/issues/52643
slack1539,kubernetes-novice,"Hi, I was wondering if I could get some feedback on <https://github.com/kubernetes/kubernetes/issues/56304> thanks",https://github.com/kubernetes/kubernetes/issues/56304
mattfarina,kubernetes-novice,<@U2LF3NQ93> Can you take a look at <https://github.com/kubernetes/kubernetes/issues/56416>. I don’t think this belongs with SIG Apps.,https://github.com/kubernetes/kubernetes/issues/56416
luiz.toledo,kubernetes-novice,"And if it is, how made it, how are you dealing with the Client-ID and Client-secret in the kubectl, do you that is a security issue? I read carefully this discussion: `<https://github.com/kubernetes/kubernetes/issues/37822>`, but I still don't get it",https://github.com/kubernetes/kubernetes/issues/37822
gustavoatt,kubernetes-novice,"I’m hitting this bug <https://github.com/kubernetes/kubernetes/issues/56261> — It seems like restarting the scheduler would help, but how can I restart the scheduler if its running as a standalone Pod. If I delete it, how would it get rescheduled?",https://github.com/kubernetes/kubernetes/issues/56261
jell,kubernetes-novice,be aware that hyperkube not always passes all flags to underlying commands. i mean - hyperkube binary. (e.g. <https://github.com/kubernetes/kubernetes/issues/54424> ),https://github.com/kubernetes/kubernetes/issues/54424
justaugustus,kubernetes-novice,"It looks like it's being worked by <@U0ASA4398>, who has also been tackling the initial Scale Sets work:
- <https://github.com/kubernetes/kubernetes/issues/43287>
- <https://github.com/kubernetes/autoscaler/issues/449>

Perhaps he can provide a little more context?",https://github.com/kubernetes/kubernetes/issues/43287
pires,kubernetes-novice,<@U4F6A88AX> <https://github.com/kubernetes/kubernetes/issues/53532>,https://github.com/kubernetes/kubernetes/issues/53532
typositoire,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/32839>,https://github.com/kubernetes/kubernetes/issues/32839
spotter,kubernetes-novice,<@U0AD37EP6> <https://github.com/kubernetes/kubernetes/issues/49398>,https://github.com/kubernetes/kubernetes/issues/49398
oomichi,kubernetes-novice,"happy holiday :slightly_smiling_face:
Can somebody close <https://github.com/kubernetes/kubernetes/issues/24763> ?
That can be closed because test-infra one(<https://github.com/kubernetes/test-infra/issues/5701>) is merged instead",https://github.com/kubernetes/kubernetes/issues/24763
quinton_hoole,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/50734>,https://github.com/kubernetes/kubernetes/issues/50734
bentheelder,kubernetes-novice,"the flakes are too high: <http://velodrome.k8s.io/dashboard/db/bigquery-metrics?orgId=1>
filed <https://github.com/kubernetes/kubernetes/issues/57342> and poked <https://github.com/kubernetes/kubernetes/issues/56121> :confused:",https://github.com/kubernetes/kubernetes/issues/56121
rjmorse,kubernetes-novice,"<@U79S69E11> You should take a look at this PR for windows stats, which is merged for 1.9: <https://github.com/kubernetes/kubernetes/pull/50396>
It also has discussion around CRI in the related issue: <https://github.com/kubernetes/kubernetes/issues/49398>",https://github.com/kubernetes/kubernetes/issues/49398
artmr,kubernetes-novice,"Federated service discovery failed in hybrid cloud: OpenStack + GKE:
<https://github.com/kubernetes/kubernetes/issues/55326>",https://github.com/kubernetes/kubernetes/issues/55326
mkumatag,kubernetes-novice,"There are few image deps for conformance test from kubernetes/kubernetes.github.io repo, created a issue to discuss further on this - <https://github.com/kubernetes/kubernetes/issues/48530>",https://github.com/kubernetes/kubernetes/issues/48530
frobware,kubernetes-novice,Last week (mostly Monday) I looked into <https://github.com/kubernetes/kubernetes/issues/54574> a bit but even there got sidetracked.,https://github.com/kubernetes/kubernetes/issues/54574
wizard,kubernetes-novice,It seems it can't. see issue <https://github.com/kubernetes/kubernetes/issues/57933>,https://github.com/kubernetes/kubernetes/issues/57933
shyamjvs,kubernetes-novice,<@U4VMZKRD0> Failing correctness tests are being tracked under <https://github.com/kubernetes/kubernetes/issues/55194>,https://github.com/kubernetes/kubernetes/issues/55194
spiffxp,kubernetes-novice,and <https://github.com/kubernetes/kubernetes/issues/34255> (/me waves to <@U15E5E538>),https://github.com/kubernetes/kubernetes/issues/34255
ichekrygin,kubernetes-novice,"Hello, I want to follow up on <https://github.com/kubernetes/kubernetes/issues/23008>. It appears this issue was resolved. 
I am running into similar issue with high `kubelet` CPU usage, and as it seems due to `cAdviser`. I am on `kubelet` `v1.7.6`",https://github.com/kubernetes/kubernetes/issues/23008
jhorwit2,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/54070>,https://github.com/kubernetes/kubernetes/issues/54070
wenlxie,kubernetes-novice,<https://github.com/kubernetes/kubernetes/issues/57692>,https://github.com/kubernetes/kubernetes/issues/57692
mhausenblas,kubernetes-novice,"(it’s <https://github.com/kubernetes/kubernetes/issues/44407> I was referring to ^^^, FWIW)",https://github.com/kubernetes/kubernetes/issues/44407
roffe,kubernetes-novice,issue created: <https://github.com/kubernetes/kubernetes/issues/57321>,https://github.com/kubernetes/kubernetes/issues/57321
mhausenblas,kubernetes-novice,<@U1A5ZGBLM> you aware of <https://github.com/kubernetes/kubernetes/issues/26120>?,https://github.com/kubernetes/kubernetes/issues/26120
quinton_hoole,kubernetes-novice,"<https://github.com/kubernetes/kubernetes/issues/44160> is the closest thing we have to that design document right now, as far as I know.",https://github.com/kubernetes/kubernetes/issues/44160
