Sender,channel,text,url_html,is issue,is comment's issue,is pull request,is comment's pull request,issue or pull another repository,is other issue or pull of another organization,url not found
spzala,minikube,ready for review <https://github.com/kubernetes/website/pull/6586>,https://github.com/kubernetes/website/pull/6586,False,False,False,False,True,False,False
cdrage,minikube,since <@U0DE6E8JY> has done a lot of work testing <https://github.com/kubernetes-incubator/kompose/pull/521> can any of you three please test it and see if it works for you? <@U1N4ENMFT> <@U10KRBVHN> <@U3R8AEEQG> ,https://github.com/kubernetes-incubator/kompose/pull/521,False,False,False,False,False,True,False
adam_p,minikube,<https://github.com/kubernetes/kops/issues/3388>,https://github.com/kubernetes/kops/issues/3388,False,False,False,False,True,False,False
roffe,minikube,<https://github.com/kubernetes/kubernetes/pull/56115>,https://github.com/kubernetes/kubernetes/pull/56115,False,False,False,False,True,False,False
spiffxp,minikube,some github-label related stuff I'd like to help out with (and could really use the group's help in making a 1.10 priority) <https://github.com/kubernetes/kubernetes/issues/57911>,https://github.com/kubernetes/kubernetes/issues/57911,False,False,False,False,True,False,False
spiffxp,minikube,"<https://github.com/kubernetes/community/pull/1532> and there's a merge by k8-ci-robot, hi tide :ocean:",https://github.com/kubernetes/community/pull/1532,False,False,False,False,True,False,False
kshafiee,minikube,<@U26771G31> do you mean this PR: <https://github.com/kubernetes/kubernetes/pull/54969>,https://github.com/kubernetes/kubernetes/pull/54969,False,False,False,False,True,False,False
jberkus,minikube,<@U0C3CP6LT> will you be able to merge this today?  <https://github.com/kubernetes/kubernetes/pull/57046>,https://github.com/kubernetes/kubernetes/pull/57046,False,False,False,False,True,False,False
tpepper,minikube,<@U215HJK16> re: <https://github.com/kubernetes/website/issues/6037>  any sense of when the “kubectl binary” part will migrate from /docs/user-guide/ to reference ?,https://github.com/kubernetes/website/issues/6037,False,False,False,False,True,False,False
vikasc,minikube,<@U5W01M1D1> Can we merge this one <https://github.com/kubernetes/kubernetes/pull/55382> ?,https://github.com/kubernetes/kubernetes/pull/55382,False,False,False,False,True,False,False
ifilonenko,minikube,"after tests run (and supposedly fail) run spark-submit… because spark-R SHOULD work… and it is very very very suprising that it doesn’t pass, considering this PR passed: <https://github.com/apache-spark-on-k8s/spark/pull/507)>",https://github.com/apache-spark-on-k8s/spark/pull/507,False,False,False,False,False,True,False
surajnarwade,minikube,"hello guys, review needed for this: <https://github.com/kubernetes-incubator/kompose/pull/626>",https://github.com/kubernetes-incubator/kompose/pull/626,False,False,False,False,False,True,False
rjmorse,minikube,It sounds like that could roll into this issue/momentum: <https://github.com/kubernetes/features/issues/288>,https://github.com/kubernetes/features/issues/288,False,False,False,False,True,False,False
luxas,minikube,<@U0CBHE6GM> FYI <https://github.com/kubernetes/features/issues/415>,https://github.com/kubernetes/features/issues/415,False,False,False,False,True,False,False
bwallace,minikube,"I am running `cluster-autoscaler` v0.6.2 in a 1.6.x k8s environment on AWS.  I am trying to get scale down/up from zero working, but so far without success.  Scale down appears to work, but I am unable to scale up nodes from zero.  Wrote up details in the following issue (i.e. request for help), but thought I would post it here as well.
<https://github.com/kubernetes/autoscaler/issues/511>",https://github.com/kubernetes/autoscaler/issues/511,False,False,False,False,True,False,False
cdhunt,minikube,<https://github.com/golang/go/issues/20571>,https://github.com/golang/go/issues/20571,False,False,False,False,False,True,False
mlamina,minikube,"Right now everyone who has access to the dashboard will be able to use all of its features. However, there are efforts to change this in the future: <https://github.com/kubernetes/dashboard/issues/964>",https://github.com/kubernetes/dashboard/issues/964,False,False,False,False,True,False,False
hrishin,minikube,"Greeting on Friday evening!
<https://github.com/kubernetes/kompose/issues/712>",https://github.com/kubernetes/kompose/issues/712,False,False,False,False,True,False,False
jberkus,minikube,can someone explain to me what's in <https://github.com/kubernetes/kubernetes/pull/56970>?  <@U0BAHSEPQ>?,https://github.com/kubernetes/kubernetes/pull/56970,False,False,False,False,True,False,False
omerl,minikube,"This is the documentation, and I’ve encounter this issue <https://github.com/kubernetes/charts/issues/2974>",https://github.com/kubernetes/charts/issues/2974,False,False,False,False,True,False,False
jdumars,minikube,not sure why <https://github.com/kubernetes/sig-release/pull/67> is not merging,https://github.com/kubernetes/sig-release/pull/67,False,False,False,False,True,False,False
renaud,minikube,"I'm sorry but this PR seems somewhat ridiculous to me: <https://github.com/kubernetes/kubernetes/pull/53028>

Essentially what we are saying by increasing the sleep duration to 20s rather than actually fixing the test
is that we care more about not seeing the bug rather than the code being correct.

Also the fact that a unit test takes more than 5 hours (even if it's ran 500x) to run seems actually quite ridiculous.
To give some perspective on my machine running the test on the whole package 5 times takes more than 10 minutes now
And I'm still seeing some (if not a lot) flacks",https://github.com/kubernetes/kubernetes/pull/53028,False,False,False,False,True,False,False
ingo,minikube,Mein Blog Post hat sich wohl grad von selbst erledigt: <https://github.com/kubernetes/kubernetes/pull/24429>,https://github.com/kubernetes/kubernetes/pull/24429,False,False,False,False,True,False,False
imartyn,minikube,"seen as some people are active here today, can I get more eyes on this : <https://github.com/kubernetes/kubernetes/pull/56085>",https://github.com/kubernetes/kubernetes/pull/56085,False,False,False,False,True,False,False
marun,minikube,<@U5UNS0DUY>: <https://github.com/kubernetes/kubernetes/pull/53816> is ready for approval.  Thanks again for being responsive in approving the other removal-supporting PRs!,https://github.com/kubernetes/kubernetes/pull/53816,False,False,False,False,True,False,False
greatsun,minikube,<@U0XDUM3FZ> <@U26HHP8S2> <@U0DT660QM> <@U09R4NHC7> <@U09R2FFHP> : <https://github.com/coreos/rkt/issues/894#issuecomment-255313975>,https://github.com/coreos/rkt/issues/894#issuecomment-255313975,False,False,False,False,False,True,False
zcorleissen,minikube,<@U218MBU20> :wave::skin-tone-2: Does Katacoda maintain the diagrams in tutorial content? <https://github.com/kubernetes/website/issues/6112>,https://github.com/kubernetes/website/issues/6112,False,False,False,False,True,False,False
spiffxp,minikube,"<https://github.com/kubernetes/sig-release/pull/48> <@U0YJS6LHL> if you want to drop an /approve and/or /lgtm on that, we'll see if I've got merge automation working correctly",https://github.com/kubernetes/sig-release/pull/48,False,False,False,False,True,False,False
brancz,minikube,"<@U0B93RF4N> <@U0C3CP6LT> if you have some time, I would appreciate a re-review: <https://github.com/kubernetes/kubernetes/pull/56206>",https://github.com/kubernetes/kubernetes/pull/56206,False,False,False,False,True,False,False
bentheelder,minikube,<https://github.com/kubernetes/kubernetes/pull/57729#issuecomment-354701890>,https://github.com/kubernetes/kubernetes/pull/57729#issuecomment-354701890,False,False,False,False,True,False,False
micahhausler,minikube,"<@U2HR3B24A> To answer your question about health-check annotations, that was 1.9 <https://github.com/kubernetes/kubernetes/pull/56024>",https://github.com/kubernetes/kubernetes/pull/56024,False,False,False,False,True,False,False
frobware,minikube,Last week (mostly Monday) I looked into <https://github.com/kubernetes/kubernetes/issues/54574> a bit but even there got sidetracked.,https://github.com/kubernetes/kubernetes/issues/54574,False,False,False,False,True,False,False
ixdy,minikube,add <https://github.com/kubernetes/kubernetes/issues/8830> to 2018 goals,https://github.com/kubernetes/kubernetes/issues/8830,False,False,False,False,True,False,False
rmt,minikube,"<@U69QYR4TV>.. did you have any luck with the etcd open connections issue? <@U6S1GQY1H> and I are colleagues.
 <https://github.com/kubernetes/kubernetes/issues/54138/> is the issue we are following, but it appears to be ignored, so we might be alone. Custom deployment on your end?

ApiServers seem to be maintaining the connections to etcd, reconnecting them if etcd goes down. I guess it's a leak of goroutines.",https://github.com/kubernetes/kubernetes/issues/54138,False,False,False,False,True,False,False
qiming,minikube,<https://github.com/kubernetes/website/issues/6702>,https://github.com/kubernetes/website/issues/6702,False,False,False,False,True,False,False
cnegus,minikube,I added a glossary term (Replication Controller) to this pull request: <https://github.com/kubernetes/website/pull/6578> <@U4BH9RYUB>,https://github.com/kubernetes/website/pull/6578,False,False,False,False,True,False,False
cdrage,minikube,<@U3R8AEEQG> if you google the error you can find this: <https://github.com/sirupsen/logrus/issues/543>,https://github.com/sirupsen/logrus/issues/543,False,False,False,False,False,True,False
artmr,minikube,"<@U0DSKQSRM>, <@U0AKU5SJZ> When you can, take a look:<https://github.com/kubernetes/kubernetes/pull/46114>.  Thanks in advance.",https://github.com/kubernetes/kubernetes/pull/46114,False,False,False,False,True,False,False
nsteinmetz,minikube,"bon en mettant `externalIP`, c'est accessible mais uniquement sur le pod où le container tourne et pas les 3 ips - cela me rappelle que j'ai lu ça hier <https://hackernoon.com/kubernetes-ingress-controllers-and-traefik-a32648a4ae95#.5di7njn00> et j'ai trouvé ça aussi : <https://github.com/kubernetes/charts/pull/477> qui va dans le même sens",https://github.com/kubernetes/charts/pull/477,False,False,False,False,True,False,False
iaguis,minikube,"I see, there was a bug where `rkt enter` wasn't setting the environment for fly (<https://github.com/rkt/rkt/pull/3712>), it was fixed in 1.28.0. In any case, the environment is probably set, it's just that enter doesn't do the right thing",https://github.com/rkt/rkt/pull/3712,False,False,False,False,False,True,False
spiffxp,minikube,"if there's nothing to contribute, a PR just to check the box off would suffice, eg: <https://github.com/kubernetes/features/pull/439>",https://github.com/kubernetes/features/pull/439,False,False,False,False,True,False,False
markmandel,minikube,Would love to get <https://github.com/kubernetes/client-go/pull/337> unstuck? <@U0A2VFE8J> <@U09R0TW1F>? Seen a few examples of people vendoring unsupported combinations of branches and tags.,https://github.com/kubernetes/client-go/pull/337,False,False,False,False,True,False,False
liggitt,minikube,<@U0DUJJU3Y> <@U1ZC3KGFM> qq on <https://github.com/kubernetes/kubernetes/pull/52199>,https://github.com/kubernetes/kubernetes/pull/52199,False,False,False,False,True,False,False
patricklang,minikube,btw - cleaned up the draft link for sig-windows page <https://github.com/kubernetes/community/pull/1544>,https://github.com/kubernetes/community/pull/1544,False,False,False,False,True,False,False
zcorleissen,minikube,"Speaking of which, could someone please merge <https://github.com/kubernetes/website/pull/6491>? It's technically not my PR, but I would still feel gross merging it.",https://github.com/kubernetes/website/pull/6491,False,False,False,False,True,False,False
luxas,minikube,"<@U0PPMUTGR> and other people here, what do you think about <https://github.com/kubernetes/kubeadm/issues/364>",https://github.com/kubernetes/kubeadm/issues/364,False,False,False,False,True,False,False
dims,minikube,"Hey <@U0BM389D4> - fyi, the “Move kubeadm to staging” had no support in the weekly meeting yesterday, so i’ve closed the pull request (<https://github.com/kubernetes/kubernetes/pull/53546>)",https://github.com/kubernetes/kubernetes/pull/53546,False,False,False,False,True,False,False
spiffxp,minikube,another friendly ping re: <https://github.com/kubernetes/sig-release/pull/42> <@U0EPBBM2P> or <@U0YJS6LHL> (or anyone else with write privs to the repo),https://github.com/kubernetes/sig-release/pull/42,False,False,False,False,True,False,False
aveshagarwal,minikube,<@U0ALRFJH0> so you want to fix 1.7.x? or in other words backporting this pr <https://github.com/kubernetes/kubernetes/pull/47628>?,https://github.com/kubernetes/kubernetes/pull/47628,False,False,False,False,True,False,False
brchan,minikube,Hello! - can someone please review this pr please? <https://github.com/kubernetes/kubernetes/pull/54581>,https://github.com/kubernetes/kubernetes/pull/54581,False,False,False,False,True,False,False
liggitt,minikube,<@U1EJ20APM> see <https://github.com/kubernetes/kubernetes/issues/57855>,https://github.com/kubernetes/kubernetes/issues/57855,False,False,False,False,True,False,False
sszuecs,minikube,<https://github.com/szuecs/kube-static-egress-controller/issues/6>,https://github.com/szuecs/kube-static-egress-controller/issues/6,False,False,False,False,False,True,False
vikasc,minikube,"<@U5W01M1D1> <@U0AGURFHS> can we merge this small PR and save me from rebasing pain :slightly_smiling_face:
<https://github.com/kubernetes/kubernetes/pull/55382>",https://github.com/kubernetes/kubernetes/pull/55382,False,False,False,False,True,False,False
mmodestino,minikube,this helped me: <https://github.com/kubernetes/kubernetes/issues/15180>,https://github.com/kubernetes/kubernetes/issues/15180,False,False,False,False,True,False,False
claytonc,minikube,<@U2G8FRBAT> this is the production issue we’re seeing <https://github.com/kubernetes/kubernetes/issues/48610>,https://github.com/kubernetes/kubernetes/issues/48610,False,False,False,False,True,False,False
brunomcustodio,minikube,"Bit of a dumb question, but looking at this comment ( <https://github.com/kubernetes-incubator/cri-o/issues/1141#issuecomment-343746482> ) I wonder if a CRI-O binary built on on Ubuntu (for example) will work on CentOS and CoreOS as well. Any feedback on this?",https://github.com/kubernetes-incubator/cri-o/issues/1141#issuecomment-343746482,False,False,False,False,False,True,False
artmr,minikube,"hello, can anyone review this, please? Only needs a lgtm label. <https://github.com/kubernetes/kubernetes/pull/46114>
<@U0FRN7L13> <@U0AKU5SJZ>",https://github.com/kubernetes/kubernetes/pull/46114,False,False,False,False,True,False,False
dims,minikube,<@U0E2KHQ13> <@U09R0N2BF> can you please let me know who i can ask for a loadBalancerIP for a new service? (<https://github.com/kubernetes/k8s.io/pull/96>),https://github.com/kubernetes/k8s.io/pull/96,False,False,False,False,True,False,False
spiffxp,minikube,<https://github.com/kubernetes/features/pull/534>,https://github.com/kubernetes/features/pull/534,False,False,False,False,True,False,False
philips,minikube,<@U09R2MLPK>: if you didn’t get that link before the hangout closed: <https://github.com/kubernetes/features/pull/28>,https://github.com/kubernetes/features/pull/28,False,False,False,False,True,False,False
mark-nb,minikube,"still possibly related to <https://github.com/Azure/acs-engine/issues/1680>
<https://github.com/Azure/acs-engine/issues/558>",https://github.com/Azure/acs-engine/issues/558,False,False,False,False,False,True,False
vikasc,minikube,"<@U0EPQ1S65> hi, updated the changes to address your comment. Can you please take a look now,  <https://github.com/kubernetes/kubernetes/pull/48775>",https://github.com/kubernetes/kubernetes/pull/48775,False,False,False,False,True,False,False
liggitt,minikube,<@U3Z60K88M> <@U09R2G9DL> <@U0G1H7NPN> - feedback on <https://github.com/kubernetes/kubernetes/pull/43016>? wasn't sure if you wanted it for 1.8,https://github.com/kubernetes/kubernetes/pull/43016,False,False,False,False,True,False,False
multi_io,minikube,"Hi. I’m trying to sign up to the CNCF CLA to be able to submit code, and I’m failing to do so. This is the PR where the corresponding check fails: <https://github.com/kubernetes-incubator/external-dns/pull/376>",https://github.com/kubernetes-incubator/external-dns/pull/376,False,False,False,False,False,True,False
euank,minikube,"it looks like you already found a issue for this though in <https://github.com/kubernetes/kubernetes/issues/24576>, or is this not covered?",https://github.com/kubernetes/kubernetes/issues/24576,False,False,False,False,True,False,False
cdrage,minikube,<@U0DE6E8JY> I was originally intending to use <https://github.com/kubernetes-incubator/kompose/pull/670> as the example for the 1.0.0 post for V3 conversion,https://github.com/kubernetes-incubator/kompose/pull/670,False,False,False,False,False,True,False
chenopis,minikube,It was <@U3XGT6G8Y>'s: <https://github.com/kubernetes/website/pull/6573>,https://github.com/kubernetes/website/pull/6573,False,False,False,False,True,False,False
dims,minikube,<@U0BM389D4> and the jobs are still broken … i did ask for help in the meeting agenda (<https://github.com/kubernetes/kubernetes/issues/53570#issuecomment-335532874>),https://github.com/kubernetes/kubernetes/issues/53570#issuecomment-335532874,False,False,False,False,True,False,False
marun,minikube,"Also, there's a related PR: <https://github.com/kubernetes/kube-openapi/pull/14>",https://github.com/kubernetes/kube-openapi/pull/14,False,False,False,False,True,False,False
justaugustus,minikube,"It looks like it's being worked by <@U0ASA4398>, who has also been tackling the initial Scale Sets work:
- <https://github.com/kubernetes/kubernetes/issues/43287>
- <https://github.com/kubernetes/autoscaler/issues/449>

Perhaps he can provide a little more context?",https://github.com/kubernetes/autoscaler/issues/449,False,False,False,False,True,False,False
micahhausler,minikube,"I added documentation for ELB service annotations. If you feel so led, please take a look! <https://github.com/kubernetes/website/pull/6692>",https://github.com/kubernetes/website/pull/6692,False,False,False,False,True,False,False
tennis,minikube,"<@U34HHEWE4> Hi guy.  FYI. I’m running into a problem starting kubemark.  Thought you’d want to know about it.
<https://github.com/kubernetes/kubernetes/issues/47736>",https://github.com/kubernetes/kubernetes/issues/47736,False,False,False,False,True,False,False
karthickrajamani,minikube,"Hello, we are looking to add vertical scaling (live, in-place, resource resizing) support to Kubernetes for stateful sets.. v 1.7 added update capability for stateful sets - however, its limited to resizing resources only with a pod restart. We want to leverage live resizing as a scaling option for stateful applications. I had posted about this at <https://github.com/kubernetes/features/issues/21>. Responder to it indicated that the members here would be interested, would want to have a say..  Kindly let us know if this is a feature that interests you. Thank you.",https://github.com/kubernetes/features/issues/21,False,False,False,False,True,False,False
spiffxp,minikube,"<https://github.com/kubernetes/sig-release/pull/42> tiny ask if someone with merge super powers wants to help, I'll have some companion PR's in other repos to update links once this is merged",https://github.com/kubernetes/sig-release/pull/42,False,False,False,False,True,False,False
luxas,minikube,<@U0CBHE6GM> We do: <https://github.com/kubernetes/features/issues/296>,https://github.com/kubernetes/features/issues/296,False,False,False,False,True,False,False
ericchiang,minikube,<@U18NMV9D0> have you looked at <https://github.com/coreos/dex/issues/1110>,https://github.com/coreos/dex/issues/1110,False,False,False,False,False,True,False
nickchase,minikube,"OK, if you merge this: <https://github.com/kubernetes/features/pull/528>  we're ready.",https://github.com/kubernetes/features/pull/528,False,False,False,False,True,False,False
jhorwit2,minikube,"<https://github.com/kubernetes/kubernetes/issues/54070>

^ Pretty serious regression in 1.8.x that will cause all non-in-tree cloud providers (baremetal, custom zone labels, CCM) to lose the zone labels on kubelet upgrade / subsequent restarts.",https://github.com/kubernetes/kubernetes/issues/54070,False,False,False,False,True,False,False
spiffxp,minikube,FYI <https://github.com/kubernetes/test-infra/pull/5348>,https://github.com/kubernetes/test-infra/pull/5348,False,False,False,False,True,False,False
jberkus,minikube,<@U0B93RF4N> <@U4723UJL8> <@U6DN3CFF1> can we have an update on the horizontal pod autoscaler test failure?  <https://github.com/kubernetes/kubernetes/issues/54574>,https://github.com/kubernetes/kubernetes/issues/54574,False,False,False,False,True,False,False
guangxuli,minikube,hi <@U3Z60K88M> these days i am working on <https://github.com/kubernetes/kubernetes/issues/55333>. but there are some confusing i 'd like to confirm.,https://github.com/kubernetes/kubernetes/issues/55333,False,False,False,False,True,False,False
fiunchinho,minikube,is that affected by this revert? <https://github.com/kubernetes/kubernetes/pull/51634>,https://github.com/kubernetes/kubernetes/pull/51634,False,False,False,False,True,False,False
jaredb,minikube,<https://github.com/kubernetes/website/issues/6219>,https://github.com/kubernetes/website/issues/6219,False,False,False,False,True,False,False
spiffxp,minikube,<https://github.com/kubernetes/test-infra/pull/5435>,https://github.com/kubernetes/test-infra/pull/5435,False,False,False,False,True,False,False
bentheelder,minikube,also this <https://github.com/kubernetes/test-infra/issues/6064>,https://github.com/kubernetes/test-infra/issues/6064,False,False,False,False,True,False,False
vladionescu,minikube,<@U3RDUJSLX>: there is an issue for DiD and DoD on Kubernetes where advantages and disadvantages are discussed: <https://github.com/kubernetes/kubernetes/issues/1806>,https://github.com/kubernetes/kubernetes/issues/1806,False,False,False,False,True,False,False
cdrage,minikube,Hey <@U3R8AEEQG> if you wanna join a bluejeans I can explain what I mean in <https://github.com/kubernetes-incubator/kompose/pull/664#discussion_r124452764>,https://github.com/kubernetes-incubator/kompose/pull/664#discussion_r124452764,False,False,False,False,False,True,False
tpepper,minikube,so I offered myself as a bug triage shadow to Josh for 1.10 and could see starting <https://github.com/kubernetes/kubernetes/issues/34255#issuecomment-355675725> as a logical step for that,https://github.com/kubernetes/kubernetes/issues/34255#issuecomment-355675725,False,False,False,False,True,False,False
mariusv,minikube,you can subscribe to: <https://github.com/kubernetes/kubernetes/issues/48180> to see when and if will ever be in,https://github.com/kubernetes/kubernetes/issues/48180,False,False,False,False,True,False,False
chrislovecnm,minikube,Would appreciate some feedback on <https://github.com/kubernetes/community/pull/1432>,https://github.com/kubernetes/community/pull/1432,False,False,False,False,True,False,False
ravig,minikube,"Hello, can someone help review/merge this PR : <https://github.com/kubernetes/kubernetes/pull/44740>?",https://github.com/kubernetes/kubernetes/pull/44740,False,False,False,False,True,False,False
jbguerraz,minikube,"We're facing an issue with authorization mode ""allow all"" and some manifests that uses RBAC resources.

As far as we understood, the RBAC API is enabled by default but not the RBAC authorizer (<https://github.com/kubernetes/features/issues/2#issuecomment-330569468>).

So a manifest using RBAC resources should works (RBAC API would create unused stuff as there is not the RBAC authorizer to use them).

But we get a message ""<http://clusterroles.rbac.authorization.k8s.io|clusterroles.rbac.authorization.k8s.io> ""xxx"" is forbidden: attempt to grant extra privileges"" like there is an authorizer doing its authorization job (but we're yet using the flag `--authorization-mode=AlwaysAllow`).

Does one have an idea about it ? do we miss something ? or is that some kind of bug with authz system ?",https://github.com/kubernetes/features/issues/2#issuecomment-330569468,False,False,False,False,True,False,False
spiffxp,minikube,"Using <https://github.com/kubernetes/community/pull/1533> as a tracer bullet, does the submit queue status need to be modified?",https://github.com/kubernetes/community/pull/1533,False,False,False,False,True,False,False
surajnarwade,minikube,"hey <@U2TU9NPH9>, since <https://github.com/kubernetes/kompose/pull/871>  takes input from stdin, testing it is bit difficult",https://github.com/kubernetes/kompose/pull/871,False,False,False,False,True,False,False
kasper,minikube,"Hey guys!

I am trying to solve this issue: <https://github.com/kubernetes/kubernetes/issues/45140>
It's tagged with sig/node, so I thought I might ask here. :slightly_smiling_face:

I threw a comment on it, maybe anyone can point me in the right direction? It's my first time fiddling with kubernetes source. :slightly_smiling_face:",https://github.com/kubernetes/kubernetes/issues/45140,False,False,False,False,True,False,False
pwittrock,minikube,<@U09R2FL93> New plan of record: <https://github.com/kubernetes/kubectl/pull/179>,https://github.com/kubernetes/kubectl/pull/179,False,False,False,False,True,False,False
dims,minikube,"<@U1EJ20APM> Mehdy, looks like you are the patch release manager, congrats! … please see <https://github.com/kubernetes/kubernetes/pull/57472>",https://github.com/kubernetes/kubernetes/pull/57472,False,False,False,False,True,False,False
mhausenblas,minikube,<@U1A5ZGBLM> you aware of <https://github.com/kubernetes/kubernetes/issues/26120>?,https://github.com/kubernetes/kubernetes/issues/26120,False,False,False,False,True,False,False
rrm,minikube,<https://github.com/kubernetes/website/issues/5993>,https://github.com/kubernetes/website/issues/5993,False,False,False,False,True,False,False
tamal,minikube,<https://github.com/kubernetes/apiextensions-apiserver/issues/11>,https://github.com/kubernetes/apiextensions-apiserver/issues/11,False,False,False,False,True,False,False
qasim.sarfraz,minikube,"Found the issue with details in <#C0EN96KUY|sig-auth>, Issue opened <https://github.com/kubernetes-incubator/kubespray/issues/2121>",https://github.com/kubernetes-incubator/kubespray/issues/2121,False,False,False,False,False,True,False
bentheelder,minikube,"FYI the submit-queue is under major stress right now:
<https://github.com/kubernetes/test-infra/pull/5964#pullrequestreview-83644654>
<https://github.com/kubernetes/test-infra/pull/5964#pullrequestreview-83644654>",https://github.com/kubernetes/test-infra/pull/5964#,False,False,False,False,True,False,False
nevinc,minikube,<@U837Y7Z46> I had something similar happen to me and I ended up having to add new iptables rules to get flannel to work. Try the iptable rules in this issue - <https://github.com/coreos/flannel/issues/799>,https://github.com/coreos/flannel/issues/799,False,False,False,False,False,True,False
paul.baumgart,minikube,"I just opened this issue to start a discussion about how to add NVIDIA GPU support to kubespray. I'm very much a kubespray noob, so I'd appreciate any feedback! <https://github.com/kubernetes-incubator/kubespray/issues/2079>",https://github.com/kubernetes-incubator/kubespray/issues/2079,False,False,False,False,False,True,False
spiffxp,minikube,yes I did <https://github.com/kubernetes/test-infra/pull/6019#issuecomment-353187630>,https://github.com/kubernetes/test-infra/pull/6019#issuecomment-353187630,False,False,False,False,True,False,False
negz,minikube,:wave: <https://github.com/kubernetes/autoscaler/pull/462> is my doing. Just letting you know I exist on Slack if anyone wants to discuss it.,https://github.com/kubernetes/autoscaler/pull/462,False,False,False,False,True,False,False
tobstarr,minikube,"ah, maybe due to <https://github.com/kubernetes/kubeadm/issues/643>?",https://github.com/kubernetes/kubeadm/issues/643,False,False,False,False,True,False,False
kruczjak,minikube,<https://github.com/kubernetes/kops/issues/3605#issuecomment-351674234>,https://github.com/kubernetes/kops/issues/3605#issuecomment-351674234,False,False,False,False,True,False,False
jeff.regan,minikube,"<@U0DSKQSRM> after a detour into vacation, service catalog, etc. i've circled back to your plugin proxy.  Please rebase <https://github.com/kubernetes/kubernetes/pull/47151>",https://github.com/kubernetes/kubernetes/pull/47151,False,False,False,False,True,False,False
ttz,minikube,KubeCon 2017 PR ready for review:  <https://github.com/kubernetes/website/pull/6585>,https://github.com/kubernetes/website/pull/6585,False,False,False,False,True,False,False
kfox1111,minikube,ok. I posted the kubectl pr here: <https://github.com/kubernetes/kubernetes/pull/54421>,https://github.com/kubernetes/kubernetes/pull/54421,False,False,False,False,True,False,False
dims,minikube,bad image from <https://github.com/kubernetes/kubernetes/pull/57204> ? <https://github.com/kubernetes/test-infra/pull/5965> ?,https://github.com/kubernetes/kubernetes/pull/57204,False,False,False,False,True,False,False
mtanino,minikube,"<@U0CD5E3QF> Could you give approval for this bug fix toward v1.9?
<https://github.com/kubernetes/kubernetes/pull/54264>",https://github.com/kubernetes/kubernetes/pull/54264,False,False,False,False,True,False,False
fabianofranz,minikube,"oops, mengqiy did it already <https://github.com/kubernetes/features/pull/424>",https://github.com/kubernetes/features/pull/424,False,False,False,False,True,False,False
